time,input,output
231.0,1366.0,871.1399682874855
232.0,1365.0,877.1049762156142
233.0,1363.0,883.3287321617106
234.0,1363.0,889.7465491212829
235.0,1366.0,895.5599118409622
236.0,1362.0,901.6699338807216
237.0,1365.0,907.7524504105412
238.0,1364.0,913.3143378079059
239.0,1364.0,919.2357533559294
240.0,1363.0,924.9268150169471
241.0,1362.0,930.1951112627103
242.0,1363.0,935.8963334470327
243.0,1365.0,941.6722500852745
244.0,1363.0,947.0041875639558
245.0,1364.0,952.5031406729669
246.0,1363.0,957.8773555047252
247.0,1360.0,962.6580166285439
248.0,1363.0,967.9935124714079
249.0,1363.0,972.995134353556
250.0,1363.0,977.746350765167
251.0,1364.0,982.8097630738753
252.0,1363.0,987.8573223054065
253.0,1361.0,992.6429917290549
254.0,1363.0,997.2322437967912
255.0,1364.0,1001.9241828475933
256.0,1360.0,1006.693137135695
257.0,1364.0,1011.2698528517712
258.0,1364.0,1016.4523896388284
259.0,1364.0,1020.8392922291214
260.0,1361.0,1024.879469171841
261.0,1362.0,1029.1596018788807
262.0,1364.0,1033.3697014091606
263.0,1362.0,1037.2772760568705
264.0,1363.0,1041.7079570426529
265.0,1363.0,1045.7809677819896
266.0,1362.0,1049.8357258364922
267.0,1364.0,1053.8767943773692
268.0,1363.0,1057.9075957830269
269.0,1363.0,1061.4306968372703
270.0,1362.0,1065.3230226279527
271.0,1365.0,1069.2422669709645
272.0,1362.0,1072.9317002282232
273.0,1363.0,1076.9487751711674
274.0,1362.0,1080.4615813783755
275.0,1364.0,1083.8461860337816
276.0,1363.0,1087.3846395253363
277.0,1363.0,1091.038479644002
278.0,1363.0,1094.5288597330016
279.0,1364.0,1097.8966447997511
280.0,1365.0,1101.1724835998134
281.0,1364.0,1104.62936269986
282.0,1364.0,1107.972022024895
283.0,1362.0,1111.4790165186714
284.0,1364.0,1114.6092623890036
285.0,1365.0,1117.7069467917527
286.0,1360.0,1121.0302100938145
287.0,1363.0,1123.772657570361
288.0,1362.0,1126.5794931777707
289.0,1365.0,1129.684619883328
290.0,1362.0,1132.513464912496
291.0,1363.0,1135.385098684372
292.0,1363.0,1138.288824013279
293.0,1362.0,1141.2166180099593
294.0,1364.0,1143.9124635074695
295.0,1363.0,1146.6843476306021
296.0,1365.0,1149.5132607229516
297.0,1363.0,1152.3849455422137
298.0,1363.0,1154.7887091566604
299.0,1362.0,1158.3415318674952
300.0,1364.0,1160.7561489006214
301.0,1364.0,1163.317111675466
302.0,1363.0,1165.2378337565997
303.0,1365.0,1167.9283753174498
304.0,1364.0,1170.4462814880874
305.0,1362.0,1172.5847111160656
306.0,1362.0,1174.9385333370492
307.0,1363.0,1177.203900002787
308.0,1362.0,1179.4029250020901
309.0,1364.0,1181.8021937515675
310.0,1363.0,1184.3516453136756
311.0,1362.0,1186.5137339852567
312.0,1362.0,1188.8853004889424
313.0,1364.0,1190.9139753667068
314.0,1364.0,1193.1854815250301
315.0,1364.0,1195.3891111437727
316.0,1363.0,1197.2918333578295
317.0,1364.0,1199.4688750183723
318.0,1364.0,1201.6016562637792
319.0,1364.0,1203.7012421978343
320.0,1362.0,1205.7759316483757
321.0,1363.0,1207.831948736282
322.0,1365.0,1209.8739615522113
323.0,1363.0,1211.6554711641584
324.0,1363.0,1213.4916033731188
325.0,1363.0,1215.368702529839
326.0,1364.0,1217.2765268973794
327.0,1363.0,1218.9573951730345
328.0,1362.0,1220.7180463797758
329.0,1362.0,1222.5385347848319
330.0,1364.0,1224.403901088624
331.0,1363.0,1226.052925816468
332.0,1363.0,1227.539694362351
333.0,1362.0,1229.1547707717632
334.0,1362.0,1230.8660780788223
335.0,1362.0,1232.6495585591167
336.0,1362.0,1234.4871689193376
337.0,1363.0,1235.8653766895031
338.0,1362.0,1237.1490325171274
339.0,1361.0,1238.8617743878456
340.0,1364.0,1239.8963307908841
341.0,1362.0,1241.422248093163
342.0,1365.0,1243.3166860698723
343.0,1364.0,1244.9875145524043
344.0,1362.0,1246.4906359143033
345.0,1364.0,1248.1179769357275
346.0,1362.0,1249.5884827017956
347.0,1363.0,1250.9413620263467
348.0,1364.0,1252.45602151976
349.0,1367.0,1253.84201613982
350.0,1365.0,1255.3815121048651
351.0,1360.0,1256.786134078649
352.0,1365.0,1257.8396005589866
353.0,1362.0,1259.12970041924
354.0,1364.0,1260.34727531443
355.0,1363.0,1261.5104564858225
356.0,1361.0,1262.8828423643668
357.0,1362.0,1264.1621317732752
358.0,1364.0,1265.1215988299564
359.0,1363.0,1266.3411991224673
360.0,1363.0,1267.5058993418504
361.0,1363.0,1268.1294245063877
362.0,1364.0,1269.347068379791
363.0,1363.0,1270.760301284843
364.0,1364.0,1271.8202259636323
365.0,1363.0,1273.1151694727241
366.0,1362.0,1274.336377104543
367.0,1364.0,1275.5022828284073
368.0,1365.0,1276.3767121213054
369.0,1363.0,1277.532534090979
370.0,1362.0,1278.6494005682343
371.0,1364.0,1279.7370504261758
372.0,1365.0,1281.0527878196317
373.0,1363.0,1282.0395908647238
374.0,1362.0,1282.5296931485427
375.0,1364.0,1283.647269861407
376.0,1363.0,1284.7354523960553
377.0,1363.0,1285.8015892970416
378.0,1365.0,1286.8511919727812
379.0,1364.0,1287.638393979586
380.0,1363.0,1288.4787954846895
381.0,1363.0,1289.359096613517
382.0,1363.0,1290.2693224601378
383.0,1362.0,1291.2019918451033
384.0,1365.0,1292.1514938838275
385.0,1364.0,1293.1136204128707
386.0,1363.0,1293.835215309653
387.0,1364.0,1294.8764114822397
388.0,1363.0,1295.6573086116798
389.0,1364.0,1296.49298145876
390.0,1364.0,1297.36973609407
391.0,1363.0,1298.0273020705527
392.0,1362.0,1298.7704765529145
393.0,1363.0,1299.577857414686
394.0,1365.0,1300.4333930610144
395.0,1363.0,1301.0750447957607
396.0,1363.0,1302.0562835968205
397.0,1363.0,1302.7922126976155
398.0,1362.0,1303.5941595232116
399.0,1362.0,1304.1956196424087
400.0,1363.0,1304.8967147318065
401.0,1363.0,1305.422536048855
402.0,1363.0,1306.0669020366413
403.0,1363.0,1306.800176527481
404.0,1364.0,1307.6001323956107
405.0,1365.0,1308.450099296708
406.0,1363.0,1308.837574472531
407.0,1363.0,1309.3781808543984
408.0,1364.0,1310.0336356407988
409.0,1364.0,1310.7752267305991
410.0,1361.0,1311.3314200479495
411.0,1363.0,1311.9985650359622
412.0,1364.0,1312.4989237769717
413.0,1363.0,1313.1241928327288
414.0,1363.0,1313.5931446245465
415.0,1363.0,1314.1948584684098
416.0,1362.0,1314.6461438513074
417.0,1363.0,1315.4846078884807
418.0,1364.0,1316.1134559163606
419.0,1363.0,1316.5850919372706
420.0,1363.0,1317.438818952953
421.0,1362.0,1318.0791142147148
422.0,1363.0,1318.8093356610361
423.0,1364.0,1319.357001745777
424.0,1364.0,1319.7677513093329
425.0,1363.0,1320.0758134819996
426.0,1363.0,1320.5568601114996
427.0,1366.0,1321.1676450836248
428.0,1363.0,1321.6257338127186
429.0,1365.0,1322.219300359539
430.0,1363.0,1322.6644752696543
431.0,1364.0,1323.2483564522408
432.0,1364.0,1323.6862673391806
433.0,1365.0,1324.0147005043855
434.0,1363.0,1324.761025378289
435.0,1363.0,1325.0707690337167
