time,input,output
2006.0,0.0,0.0
2011.0,0.0,0.0
2016.0,0.0,0.0
2021.0,0.0,0.0
2026.0,0.0,0.0
2031.0,0.0,0.0
2036.0,0.0,0.0
2041.0,0.0,0.0
2046.0,0.0,0.0
2051.0,0.0,0.0
2056.0,0.0,0.0
2061.0,0.0,0.0
2066.0,0.0,0.0
2071.0,0.0,0.0
2076.0,0.0,0.0
2081.0,0.0,0.0
2086.0,0.0,0.0
2091.0,0.0,0.0
2096.0,0.0,0.0
2101.0,0.0,0.0
2106.0,0.0,0.0
2111.0,0.0,0.0
2116.0,0.0,0.0
2121.0,0.0,0.0
2126.0,0.0,0.0
2131.0,0.0,0.0
2136.0,0.0,0.0
2141.0,0.0,0.0
2146.0,0.0,0.0
2151.0,0.0,0.0
2156.0,0.0,0.0
2161.0,0.0,0.0
2166.0,0.0,0.0
2171.0,0.0,0.0
2176.0,0.0,0.0
2181.0,0.0,0.0
2186.0,0.0,0.0
2191.0,0.0,0.0
2196.0,0.0,0.0
2201.0,0.0,0.0
2206.0,0.0,0.0
2211.0,0.0,0.0
2216.0,0.0,0.0
2221.0,0.0,0.0
2226.0,0.0,0.0
2231.0,0.0,0.0
2236.0,0.0,0.0
2241.0,0.0,0.0
2246.0,0.0,0.0
2251.0,0.0,0.0
2256.0,0.0,0.0
2261.0,0.0,0.0
2266.0,0.0,0.0
2271.0,0.0,0.0
2276.0,0.0,0.0
2281.0,0.0,0.0
2286.0,0.0,0.0
2291.0,0.0,0.0
2296.0,0.0,0.0
2301.0,0.0,0.0
2306.0,0.0,0.0
2311.0,0.0,0.0
2316.0,0.0,0.0
2321.0,0.0,0.0
2326.0,0.0,0.0
2331.0,0.0,0.0
2336.0,0.0,0.0
2341.0,0.0,0.0
2346.0,0.0,0.0
2351.0,0.0,0.0
2356.0,0.0,0.0
2361.0,0.0,0.0
2366.0,0.0,0.0
2371.0,0.0,0.0
2376.0,0.0,0.0
2381.0,0.0,0.0
2386.0,0.0,0.0
2391.0,0.0,0.0
2396.0,0.0,0.0
2401.0,0.0,0.0
2406.0,0.0,0.0
2411.0,0.0,0.0
2416.0,0.0,0.0
2421.0,0.0,0.0
2426.0,0.0,0.0
2431.0,0.0,0.0
2436.0,0.0,0.0
2441.0,0.0,0.0
2446.0,0.0,0.0
2451.0,0.0,0.0
2456.0,0.0,0.0
2461.0,0.0,0.0
2466.0,0.0,0.0
2471.0,0.0,0.0
2476.0,0.0,0.0
2481.0,0.0,0.0
2486.0,0.0,0.0
2491.0,0.0,0.0
2496.0,0.0,0.0
2501.0,0.0,0.0
3506.0,130.0,0.0
3511.0,130.0,0.0
3516.0,130.0,6.015
3521.0,130.0,14.2365
3526.0,130.0,26.006549999999997
3531.0,130.0,36.249584999999996
3536.0,130.0,47.43070949999999
3541.0,130.0,57.26149665
3546.0,130.0,66.147047655
3551.0,130.0,74.37393335849998
3556.0,130.0,80.13275335094998
3561.0,130.0,86.16792734566498
3566.0,130.0,90.39254914196547
3571.0,130.0,95.35378439937583
3576.0,130.0,98.82664907956308
3581.0,130.0,101.25765435569414
3586.0,130.0,104.9663580489859
3591.0,130.0,107.56245063429012
3596.0,130.0,109.37971544400307
3601.0,130.0,110.65180081080214
3606.0,130.0,113.54626056756149
3611.0,130.0,113.56838239729304
3616.0,130.0,115.58786767810511
3621.0,130.0,117.00150737467357
3626.0,130.0,117.9910551622715
3631.0,130.0,118.68373861359004
3636.0,130.0,119.16861702951303
3641.0,130.0,119.5080319206591
3646.0,130.0,119.74562234446137
3651.0,130.0,121.91593564112296
3656.0,130.0,121.43115494878606
3661.0,130.0,121.09180846415023
3666.0,130.0,122.85826592490517
3671.0,130.0,122.09078614743362
3676.0,130.0,123.55755030320353
3681.0,130.0,122.58028521224247
3686.0,130.0,123.90019964856972
3691.0,130.0,122.8201397539988
3696.0,130.0,124.06809782779916
3701.0,130.0,122.9376684794594
3706.0,130.0,124.15036793562157
3711.0,130.0,122.99525755493508
3716.0,130.0,124.19068028845456
3721.0,130.0,123.02347620191819
