time,input,output
192.0,678.0,849.9501154145928
193.0,678.0,861.2125865609446
194.0,678.0,854.4094399207085
195.0,678.0,837.5570799405314
196.0,679.0,863.6678099553985
197.0,678.0,849.750857466549
198.0,679.0,861.0631430999117
199.0,679.0,854.0473573249337
200.0,677.0,837.5355179937003
201.0,678.0,863.6516384952752
202.0,680.0,848.9887288714564
203.0,678.0,859.2415466535923
204.0,679.0,851.4311599901943
205.0,679.0,834.0733699926457
206.0,679.0,860.8050274944842
207.0,678.0,845.8537706208631
208.0,677.0,857.6403279656473
209.0,678.0,850.2302459742355
210.0,679.0,833.9226844806766
211.0,680.0,859.9420133605074
212.0,678.0,845.4565100203806
213.0,679.0,856.3423825152854
214.0,679.0,849.256786886464
215.0,679.0,832.4425901648481
216.0,679.0,858.331942623636
217.0,678.0,842.998956967727
218.0,678.0,853.9992177257952
219.0,679.0,846.2494132943464
220.0,678.0,828.4370599707597
221.0,678.0,854.8277949780697
222.0,678.0,840.1208462335524
223.0,679.0,851.0906346751642
224.0,679.0,844.0679760063731
225.0,680.0,827.8009820047798
226.0,679.0,855.1007365035848
227.0,679.0,841.0755523776886
228.0,678.0,851.5566642832664
229.0,680.0,845.1674982124498
230.0,678.0,829.1256236593374
231.0,678.0,856.0942177445031
232.0,678.0,841.3206633083773
233.0,680.0,852.740497481283
234.0,679.0,846.0553731109623
235.0,679.0,830.2915298332217
236.0,678.0,856.2186473749163
237.0,680.0,840.6639855311872
238.0,678.0,851.2479891483904
239.0,677.0,844.1859918612928
240.0,679.0,826.6394938959696
241.0,679.0,853.2296204219772
242.0,677.0,838.6722153164828
243.0,678.0,849.0041614873621
244.0,679.0,841.7531211155216
245.0,679.0,825.0648408366412
246.0,679.0,851.5486306274809
247.0,678.0,836.9114729706107
248.0,678.0,847.683604727958
249.0,678.0,840.2627035459685
250.0,678.0,823.1970276594764
251.0,678.0,849.8977707446072
252.0,678.0,834.9233280584554
253.0,679.0,845.6924960438415
254.0,679.0,838.7693720328812
255.0,679.0,822.0770290246609
256.0,678.0,848.5577717684956
257.0,678.0,833.6683288263717
258.0,678.0,844.2512466197788
259.0,678.0,837.1884349648342
260.0,680.0,820.3913262236256
261.0,679.0,847.5434946677192
262.0,678.0,832.6576210007894
263.0,678.0,843.7432157505921
264.0,679.0,836.8074118129441
265.0,679.0,819.855558859708
266.0,677.0,846.391669144781
267.0,678.0,831.2937518585857
268.0,678.0,842.2203138939392
269.0,679.0,835.4152354204543
270.0,678.0,818.8114265653408
271.0,679.0,845.6085699240056
272.0,678.0,830.9564274430041
273.0,680.0,841.9673205822531
274.0,678.0,834.4754904366898
275.0,678.0,817.8566178275173
276.0,678.0,844.642463370638
277.0,679.0,829.9818475279785
278.0,679.0,841.2363856459839
279.0,678.0,834.427289234488
280.0,679.0,817.820466925866
281.0,678.0,844.6153501943995
282.0,678.0,829.9615126457996
283.0,678.0,840.4711344843497
284.0,676.0,833.3533508632622
285.0,678.0,816.2650131474467
286.0,679.0,843.698759860585
287.0,678.0,829.2740698954387
288.0,678.0,840.7055524215791
289.0,678.0,833.2791643161843
290.0,679.0,816.2093732371382
291.0,679.0,844.1570299278536
292.0,678.0,828.8677724458902
293.0,678.0,840.4008293344176
294.0,679.0,832.8006220008132
295.0,679.0,815.1004665006099
296.0,678.0,843.3253498754574
297.0,679.0,827.994012406593
298.0,679.0,839.4955093049448
299.0,679.0,832.3716319787086
300.0,678.0,814.0287239840314
301.0,679.0,842.7715429880236
302.0,678.0,826.0786572410177
303.0,679.0,837.3089929307632
304.0,679.0,829.7317446980724
305.0,677.0,810.7988085235543
306.0,679.0,839.3491063926657
307.0,680.0,823.0118297944992
308.0,679.0,835.2588723458745
309.0,679.0,827.4441542594059
310.0,678.0,809.0831156945544
311.0,679.0,838.0623367709159
312.0,678.0,822.5467525781869
313.0,679.0,834.9100644336402
314.0,680.0,828.4325483252301
315.0,679.0,811.0744112439226
316.0,678.0,839.555808432942
317.0,678.0,824.1668563247065
318.0,678.0,835.1251422435298
319.0,677.0,827.5938566826474
320.0,677.0,809.6953925119856
321.0,679.0,837.7715443839892
322.0,678.0,823.5786582879919
323.0,678.0,834.4339937159939
324.0,677.0,827.5754952869954
325.0,677.0,810.4316214652465
326.0,677.0,838.8237160989349
327.0,679.0,823.3677870742013
328.0,677.0,834.525840305651
329.0,678.0,827.3943802292382
330.0,677.0,809.2957851719286
331.0,678.0,837.4718388789465
332.0,678.0,822.1038791592099
333.0,677.0,832.8279093694074
334.0,679.0,825.6209320270556
335.0,678.0,808.4656990202917
336.0,679.0,836.0992742652188
337.0,680.0,820.3244556989141
338.0,677.0,831.2433417741856
339.0,677.0,823.1825063306392
340.0,678.0,805.8868797479794
341.0,679.0,834.1651598109845
342.0,678.0,818.6238698582383
343.0,678.0,830.2179023936787
344.0,680.0,823.413426795259
345.0,681.0,805.8100700964443
346.0,679.0,833.8575525723332
347.0,681.0,818.64316442925
348.0,677.0,829.7323733219375
349.0,677.0,822.0492799914532
350.0,679.0,804.5369599935899
351.0,679.0,832.9027199951925
352.0,678.0,817.1770399963943
353.0,678.0,829.1327799972958
354.0,679.0,821.3495849979718
355.0,678.0,803.0121887484788
356.0,678.0,832.2591415613591
357.0,679.0,816.4443561710193
358.0,679.0,828.3332671282644
359.0,678.0,820.9999503461984
360.0,678.0,802.4999627596487
361.0,678.0,831.8749720697365
362.0,677.0,815.6562290523024
363.0,681.0,827.2421717892267
364.0,678.0,819.1816288419201
365.0,678.0,802.1362216314401
366.0,679.0,831.3521662235801
367.0,679.0,815.5141246676851
368.0,679.0,826.6355935007639
369.0,680.0,819.2266951255729
370.0,677.0,801.1700213441796
371.0,679.0,830.3775160081348
372.0,679.0,814.033137006101
373.0,678.0,825.7748527545757
374.0,679.0,818.5811395659318
375.0,679.0,801.6858546744488
376.0,677.0,830.0143910058366
377.0,680.0,814.5107932543774
378.0,680.0,826.383094940783
379.0,678.0,818.7873212055873
380.0,679.0,800.8404909041905
381.0,678.0,829.6303681781428
382.0,678.0,813.2227761336071
383.0,678.0,825.1670821002053
384.0,679.0,817.375311575154
385.0,680.0,799.2814836813654
386.0,678.0,828.4611127610241
387.0,679.0,812.095834570768
388.0,677.0,823.821875928076
389.0,679.0,816.1164069460569
390.0,677.0,797.5873052095427
391.0,678.0,827.1904789071571
392.0,681.0,812.1428591803679
393.0,679.0,824.3571443852759
