time,input,output
104499.0,0.0,0.0
104509.0,0.0,0.0
104519.0,0.0,0.0
104529.0,0.0,0.0
104539.0,0.0,0.0
104549.0,0.0,0.0
104559.0,0.0,0.0
104570.0,0.0,0.0
104580.0,0.0,0.0
104590.0,0.0,0.0
104600.0,0.0,0.0
104610.0,0.0,0.0
104620.0,0.0,0.0
104630.0,0.0,0.0
104641.0,0.0,0.0
104651.0,0.0,0.0
104662.0,0.0,0.0
104672.0,0.0,0.0
104682.0,0.0,0.0
104692.0,0.0,0.0
104703.0,0.0,0.0
104713.0,0.0,0.0
104723.0,0.0,0.0
104733.0,0.0,0.0
104743.0,0.0,0.0
104753.0,0.0,0.0
104763.0,0.0,0.0
104773.0,0.0,0.0
104783.0,0.0,0.0
104793.0,0.0,0.0
104803.0,0.0,0.0
104813.0,0.0,0.0
104823.0,0.0,0.0
104833.0,0.0,0.0
104843.0,0.0,0.0
104853.0,0.0,0.0
104863.0,0.0,0.0
104873.0,0.0,0.0
104883.0,0.0,0.0
104893.0,0.0,0.0
104903.0,0.0,0.0
104913.0,0.0,0.0
104923.0,0.0,0.0
104933.0,0.0,0.0
104943.0,0.0,0.0
104953.0,0.0,0.0
104963.0,0.0,0.0
104973.0,0.0,0.0
104983.0,0.0,0.0
104993.0,0.0,0.0
106003.0,130.0,0.0
106013.0,130.0,0.0
106023.0,130.0,2.6069999999999998
106033.0,130.0,4.4319
106043.0,130.0,5.70933
106053.0,130.0,6.603530999999999
106063.0,130.0,7.2294716999999995
106073.0,130.0,33.29363019
106084.0,130.0,51.538541132999995
106094.0,130.0,64.3099787931
106105.0,130.0,73.24998515517
106115.0,130.0,79.507989608619
106125.0,130.0,92.2765927260333
106135.0,130.0,101.2146149082233
106145.0,130.0,107.4712304357563
106155.0,130.0,111.8508613050294
106165.0,130.0,114.91660291352056
106175.0,130.0,118.70062203946439
106185.0,130.0,121.34943542762507
106195.0,130.0,123.20360479933754
106205.0,130.0,124.50152335953628
106215.0,130.0,125.4100663516754
106225.0,130.0,126.45404644617275
106235.0,130.0,127.18483251232092
106245.0,130.0,127.69638275862462
106255.0,130.0,128.05446793103724
106265.0,130.0,128.30512755172606
106275.0,130.0,127.70958928620823
106285.0,130.0,127.29271250034574
106295.0,130.0,127.00089875024202
106305.0,130.0,126.7966291251694
106315.0,130.0,126.65364038761857
106325.0,130.0,126.95254827133299
106335.0,130.0,127.16178378993308
106345.0,130.0,127.30824865295315
106355.0,130.0,127.4107740570672
106365.0,130.0,127.48254183994703
106375.0,130.0,127.33177928796292
106385.0,130.0,127.22624550157403
106395.0,130.0,127.1523718511018
106405.0,130.0,127.10066029577126
106415.0,130.0,127.06446220703987
106425.0,130.0,127.2401235449279
106435.0,130.0,127.36308648144953
106445.0,130.0,127.44916053701466
106455.0,130.0,127.50941237591026
106465.0,130.0,127.55158866313718
106475.0,130.0,127.38011206419603
106485.0,130.0,127.26007844493722
106495.0,130.0,127.17605491145605
106505.0,130.0,127.11723843801923
106515.0,130.0,127.07606690661345
106525.0,130.0,127.24824683462941
106535.0,130.0,127.36877278424059
106545.0,130.0,127.45314094896841
106555.0,130.0,127.51219866427789
106565.0,130.0,127.55353906499452
106575.0,130.0,127.58247734549616
106585.0,130.0,127.60273414184731
106595.0,130.0,127.61691389929311
106605.0,130.0,127.62683972950518
106615.0,130.0,127.63378781065362
106625.0,130.0,127.43765146745753
106635.0,130.0,127.30035602722026
106645.0,130.0,127.20424921905419
106655.0,130.0,127.13697445333793
106665.0,130.0,127.08988211733654
106675.0,130.0,127.25791748213558
106685.0,130.0,127.3755422374949
106695.0,130.0,127.45787956624642
106705.0,130.0,127.51551569637249
106715.0,130.0,127.55586098746073
106725.0,130.0,127.58410269122251
106735.0,130.0,127.60387188385576
106745.0,130.0,127.61771031869903
106755.0,130.0,127.62739722308932
106765.0,130.0,127.63417805616253
106775.0,130.0,127.63892463931377
106785.0,130.0,127.64224724751963
106795.0,130.0,127.64457307326374
106805.0,130.0,127.64620115128461
106815.0,130.0,127.64734080589923
106825.0,130.0,127.64813856412945
106835.0,130.0,127.64869699489061
106845.0,130.0,127.64908789642342
106855.0,130.0,127.6493615274964
106865.0,130.0,127.64955306924747
106875.0,130.0,127.64968714847323
106885.0,130.0,127.64978100393127
106895.0,130.0,127.64984670275189
106905.0,130.0,127.64989269192631
106915.0,130.0,127.64992488434841
106925.0,130.0,127.64994741904388
106935.0,130.0,127.64996319333072
106945.0,130.0,127.6499742353315
106955.0,130.0,127.64998196473205
106965.0,130.0,127.64998737531243
106975.0,130.0,127.4489911627187
106985.0,130.0,127.30829381390308
106995.0,130.0,127.20980566973216
107005.0,130.0,127.14086396881251
107015.0,130.0,127.09260477816875
107025.0,130.0,127.25982334471811
107035.0,130.0,127.37687634130268
107045.0,130.0,127.45881343891187
107055.0,130.0,127.51616940723831
107065.0,130.0,127.55631858506682
107075.0,130.0,127.38342300954676
107085.0,130.0,127.26239610668273
107095.0,130.0,127.1776772746779
107105.0,130.0,127.11837409227454
107115.0,130.0,127.07686186459216
107125.0,130.0,127.24880330521451
107135.0,130.0,127.36916231365015
107145.0,130.0,127.4534136195551
107155.0,130.0,127.51238953368858
107165.0,130.0,127.553672673582
107175.0,130.0,127.38157087150739
107185.0,130.0,127.26109961005517
107195.0,130.0,127.17676972703862
107205.0,130.0,127.11773880892702
107215.0,130.0,127.07641716624892
107225.0,130.0,127.24849201637424
107235.0,130.0,127.36894441146197
107245.0,130.0,127.45326108802337
107255.0,130.0,127.51228276161635
107265.0,130.0,127.55359793313144
107275.0,130.0,127.582518553192
107285.0,130.0,127.6027629872344
107295.0,130.0,127.61693409106408
107305.0,130.0,127.62685386374486
107315.0,130.0,127.6337977046214
107325.0,130.0,127.63865839323498
107335.0,130.0,127.64206087526448
107345.0,130.0,127.64444261268513
107355.0,130.0,127.64610982887959
107365.0,130.0,127.64727688021571
107375.0,130.0,127.44709381615098
107385.0,130.0,127.30696567130568
107395.0,130.0,127.20887596991398
107405.0,130.0,127.14021317893977
107415.0,130.0,127.09214922525783
107425.0,130.0,127.25950445768048
107435.0,130.0,127.37665312037633
107445.0,130.0,127.45865718426343
107455.0,130.0,127.5160600289844
107465.0,130.0,127.55624202028908
107475.0,130.0,127.58436941420236
107485.0,130.0,127.60405858994164
108495.0,0.0,127.61784101295915
108505.0,0.0,127.6274887090714
108515.0,0.0,127.63424209634998
108525.0,0.0,127.23996946744498
108535.0,0.0,126.96397862721147
108545.0,0.0,126.77078503904801
108555.0,0.0,126.63554952733358
108565.0,0.0,126.5408846691335
108575.0,0.0,122.26261926839345
